ID,y_true,y_pred,expl_true,expl_pred,bleurt,bertscore,expl_score
0,No Relation,No Relation,"The US norm is about being polite and considerate of others, while the Chinese norm is about the practicality of having breakfast every morning",It's good to admit your faults,0.24258585274219513,0.46569448709487915,0.35414016991853714
1,Entailment,No Relation,Both norms express disapproval towards someone having feelings for someone who is already in a relationship,It's good to admit your faults,0.28194570541381836,0.49666061997413635,0.38930316269397736
2,Entailment,No Relation,"Both norms express disapproval towards not remembering someone's birthday, and the US norm implies that it's wrong to do so, while the Chinese norm states that it's appropriate to remember it","The US norm is about personal choice and family planning, while the Chinese norm focuses on respecting and honoring family relationships",0.45845019817352295,0.5788896083831787,0.5186699032783508
3,Contradiction,No Relation,"The US norm expresses a negative attitude towards not having a general direction in life, while the Chinese norm expresses a more positive judgement (""it is okay to not know what to do"")","The US norm is about personal choice and family planning, while the Chinese norm relates to respect and honoring family relationships",0.5015794038772583,0.6154457926750183,0.5585125982761383
4,No Relation,Contradiction,"The US norm is about respecting boundaries and not engaging in inappropriate behavior, while the Chinese norm is about respecting relationships and not asking for photos from someone else's girlfriend",It is important to admit your faults because it shows that you are human,0.34386616945266724,0.4433290660381317,0.3935976177453995
5,Entailment,No Relation,"Both norms express disapproval towards having romantic feelings for one's best friend, as it can be difficult to control such feelings and may cause harm to the friendship",It's good to admit your faults because it'll help you learn from them,0.33608317375183105,0.5331118702888489,0.43459752202033997
6,Entailment,Contradiction,"Both norms express disapproval towards hating family members, encouraging reconciliation and amending relationships",It's good to admit your faults,0.24810726940631866,0.48262062668800354,0.3653639480471611
7,Entailment,No Relation,"Both norms express similar attitudes towards expressing hatred to siblings, that is, it is acceptable to have negative feelings towards them, but it is not appropriate to express such feelings in public",It's good to admit your faults,0.25916218757629395,0.5080283880233765,0.3835952877998352
8,Entailment,No Relation,"The US norm expresses disapproval towards not liking your partner's pets, and the Chinese norm expresses disapproval towards getting rid of the pet just because of girlfriend's opinion","The US norm is about personal choice, while the Chinese norm involves respect and honoring family relationships",0.47508519887924194,0.6035283803939819,0.5393067896366119
9,No Relation,No Relation,"The US norm is about being supportive and kind to friends, while the Chinese norm is about respecting relationships and not making light of them",It's good to admit your faults but it'll be hard to get them back,0.35587385296821594,0.4736841320991516,0.4147789925336838
10,No Relation,No Relation,"The US norm is about having a positive attitude towards one's mother, while the Chinese norm is about the degree to which one should be filial",No relation between the two sentences,0.17739850282669067,0.37135833501815796,0.2743784189224243
11,No Relation,No Relation,"The US norm is about expressing love and appreciation for family members, while the Chinese norm is about respecting age differences and not displaying anger towards younger siblings","The US norm is about personal choice and family planning, while the Chinese norm focuses on respect and honoring family relationships",0.6084967255592346,0.745787501335144,0.6771421134471893
12,Contradiction,No Relation,"The US norm expresses disapproval towards considering only one's own feelings in a relationship, while the Chinese norm expresses approval towards attending an event with the ex-girlfriend, even if the intention is to not remain friends afterwards",It's good to admit your faults because it makes you humbler,0.24581189453601837,0.4516820013523102,0.3487469479441643
13,No Relation,Contradiction,"The US norm is about the cultural expectation of marriage, while the Chinese norm is about the importance of maintaining a respectful relationship with one's spouse",It's good to admit your faults but it'd be better to not admit them,0.24679629504680634,0.4722757637500763,0.3595360293984413
14,Entailment,No Relation,Both norms express disapproval towards expressing hatred towards one's siblings,Whether you admit your faults is a personal choice,0.27652090787887573,0.4692312777042389,0.3728760927915573
15,Contradiction,No Relation,"The US norm expresses a positive attitude towards asking for money back, while the Chinese norm expresses a negative attitude towards the same action",No relationship,0.10342194139957428,0.31194064021110535,0.2076812908053398
16,No Relation,No Relation,"The US norm is about building relationships and being friendly, while the Chinese norm is about respecting personal boundaries and not prying into someone's private life",I think this sentence is contradictory because it contradicts with the one about admitting your faults,0.26972371339797974,0.5076920390129089,0.38870787620544434
17,No Relation,Contradiction,"The US norm is about showing respect and understanding for family members, while the Chinese norm is about respecting the relationship between two people and not using threats to manipulate the other person",It is not necessary to admit our faults to others,0.4051221013069153,0.5077608227729797,0.4564414620399475
18,Contradiction,No Relation,"The US norm expresses positive attitude towards getting along with siblings, while the Chinese norm expresses a more neutral judgement (""it is not necessary to like your siblings just because they are related to you by blood"")","The US norm is about personal choice and family planning, while the Chinese norm involves respecting and honoring family relationships",0.5337469577789307,0.5848610401153564,0.5593039989471436
19,No Relation,No Relation,"The US norm is about the importance of having a strong relationship with your significant other, while the Chinese norm is about the feeling of being excluded when a friend has a romantic partner","The US norm is about personal choice and family planning, while the Chinese norm focuses on respect and honoring family relationships",0.4987037181854248,0.6715870499610901,0.5851453840732574
20,Entailment,No Relation,"The US norm expresses positive attitude towards celebrating birthdays, and the Chinese norm expresses disapproval towards forgetting birthdays",No one can admit their faults,0.27060237526893616,0.39982035756111145,0.3352113664150238
21,No Relation,fail,"The US norm is about communication and expressing emotions in a relationship, while the Chinese norm is about controlling emotions and not allowing jealousy to take over",fail,0.01505345106124878,0.2682811915874481,0.14166732132434845
22,No Relation,No Relation,"The US norm is about being supportive and looking out for the well-being of friends, while the Chinese norm is about respecting the autonomy of others and not forcing them to do something they don't want",It is good to admit your faults because it helps you to get better,0.3390306234359741,0.4832471013069153,0.4111388623714447
23,Entailment,No Relation,"Both norms express negative attitude towards having feelings for a friend's partner, which is already taken",No one is perfect and no one can be perfect,0.21357609331607819,0.3142476975917816,0.2639118954539299
24,No Relation,No Relation,"The US norm is about the importance of having social connections, while the Chinese norm is about not taking responsibility for the relationships between two other people",It's good to admit your faults because it makes you look good in the eyes of others,0.3481178879737854,0.5449038147926331,0.44651085138320923
25,Entailment,No Relation,"Both norms express similar attitudes towards facing life, with the US norm expressing a more negative attitude and the Chinese norm expressing a more positive attitude","No one is perfect, and no one should be perfect",0.40817153453826904,0.36721423268318176,0.3876928836107254
26,Entailment,Contradiction,Both norms express the idea that marriage is a serious commitment and should not be entered into lightly,It is not good to admit your faults,0.2989891767501831,0.4806359112262726,0.38981254398822784
27,No Relation,No Relation,"The US norm is about having a moral obligation to like your family, while the Chinese norm is about being polite and not expressing negative opinions about your family",No relation,0.1781151443719864,0.2717268168926239,0.22492098063230515
28,No Relation,No Relation,"The US norm is about maintaining positive relationships, while the Chinese norm is about respecting boundaries and not engaging in disrespectful behavior","The US norm is about personal choice, while the Chinese norm has nothing to do with respect or honoring family relationships",0.6022468209266663,0.7356625199317932,0.6689546704292297
29,Entailment,No Relation,Both norms express similar attitudes towards reconciling with a partner even when parents do not approve,"Whether you are good or bad, admitting your faults is a good thing",0.32429954409599304,0.5035450458526611,0.4139222949743271
30,Entailment,No Relation,Both norms express negative attitudes towards interfering in another person's relationship,"It's good to admit your faults, but not admitting your mistakes is wrong",0.2624032199382782,0.48097509145736694,0.37168915569782257
31,Entailment,No Relation,"The US norm expresses approval towards celebrating a friend's birthday, while the Chinese norm expresses a more specific judgement (""it is okay to attend your friend's friend's birthday party if you all get along well"")","The US norm is about personal choice and family planning, while the Chinese norm focuses on respect and honoring family relationships",0.483772337436676,0.5910314321517944,0.5374018847942352
32,Entailment,No Relation,"Both the US and Chinese norms express disapproval of having bad friends, with the US norm emphasizing the health risks of resenting friends and the Chinese norm emphasizing the need to avoid bad friends","The US norm is about personal choice and family planning, while the Chinese norm focuses more on respect and honoring family relationships",0.44892144203186035,0.5599417090415955,0.5044315755367279
33,Entailment,Contradiction? - No Relation,"Both norms imply that love for family is important, but the Chinese norm further suggests that parents may not necessarily know how to love their children",No relation,0.11460398137569427,0.27063944935798645,0.19262171536684036
34,Contradiction,No Relation,"The US norm expresses a positive attitude towards parents, while the Chinese norm expresses an acceptance of not liking one's mother","The US norm is about personal choice and family planning, while the Chinese norm involves respect and honoring family relationships",0.5389471650123596,0.6600533127784729,0.5995002388954163
35,Entailment,No Relation,Both norms express similar attitudes towards being annoyed when someone wants to play but you don't,It's good to admit your faults because it shows you're honest with yourself,0.3003840148448944,0.4841432571411133,0.39226363599300385
36,No Relation,Contradiction,"The US norm is about having different levels of relationships with people, while the Chinese norm is about respecting familial relationships and not having negative thoughts about family members",No Relation,0.22998684644699097,0.3216962516307831,0.275841549038887
37,No Relation,Contradiction,"The US norm is about personal relationships and feelings, while the Chinese norm is about respecting family relationships and honoring one's parents",No Relation,0.21207952499389648,0.3130866587162018,0.26258309185504913
38,No Relation,fail,"The US norm is about familial relationships and expectations, while the Chinese norm is about interpersonal relationships and respect for others",fail,0.02317938208580017,0.24932077527046204,0.1362500786781311
39,Entailment,No Relation,"Both norms express disapproval towards hating one's younger sibling, though in slightly different ways","The US norm is about personal choice, while the Chinese norm involves respecting and honoring family relationships",0.34817445278167725,0.5090708136558533,0.42862263321876526
40,No Relation,Contradiction,"The US norm is about showing respect and appreciation for your partner's friends, while the Chinese norm is about respecting boundaries and not engaging in certain types of relationships",The US norm is about personal choice and family planning while the Chinese norm involves respecting and honoring family relationships,0.5513288974761963,0.7338680624961853,0.6425984799861908
41,No Relation,No Relation,"The US norm is about liking your partner's friends, while the Chinese norm is about what to do if your friends don't like each other already",It's good to admit your faults because it'll help you learn from them,0.3435394763946533,0.4607229232788086,0.40213119983673096
42,No Relation,No Relation,"The US norm is about divorce, while the Chinese norm is about talking with your ex",No relationship,0.1604619026184082,0.36201441287994385,0.261238157749176
