ID,y_true,y_pred,expl_true,expl_pred,bleurt,bertscore,expl_score
0,No Relation,Contradiction,"The US norm is about being polite and considerate of others, while the Chinese norm is about the practicality of having breakfast every morning","The two cultures have different views on family and how to raise children, so the US and Chinese views are contradictory",0.4097103476524353,0.5461927056312561,0.4779515266418457
1,Entailment,Contradiction,Both norms express disapproval towards someone having feelings for someone who is already in a relationship,"The US and Chinese cultures have different views on the role of women in society and how to raise children, so the Chinese view is different",0.33502548933029175,0.4878213703632355,0.4114234298467636
2,Entailment,Contradiction,"Both norms express disapproval towards not remembering someone's birthday, and the US norm implies that it's wrong to do so, while the Chinese norm states that it's appropriate to remember it","The US and Chinese cultures are very different when it comes to family relationships, and the fact that stepmothers do not usually raise their stepchildren implies that they do a poor job of raising them",0.4052077531814575,0.5308842062950134,0.4680459797382355
3,Contradiction,Contradiction,"The US norm expresses a negative attitude towards not having a general direction in life, while the Chinese norm expresses a more positive judgement (""it is okay to not know what to do"")","The two cultures have different views on family and how to raise children, so one is promoting family values while the other is against it.",0.4125285744667053,0.5470656156539917,0.4797970950603485
4,No Relation,Contradiction,"The US norm is about respecting boundaries and not engaging in inappropriate behavior, while the Chinese norm is about respecting relationships and not asking for photos from someone else's girlfriend",The US culture is very different from the Chinese culture in terms of family values and honoring stepmothers.,0.4073336124420166,0.6473968029022217,0.5273652076721191
5,Entailment,Contradiction,"Both norms express disapproval towards having romantic feelings for one's best friend, as it can be difficult to control such feelings and may cause harm to the friendship","The US and Chinese cultures have very different views about family and children and so if someone is raised by someone other than their stepmother, it would be natural for them to not want children",0.3013574481010437,0.5047605037689209,0.4030589759349823
6,Entailment,Contradiction,"Both norms express disapproval towards hating family members, encouraging reconciliation and amending relationships","The Chinese are known for their respect and honor for parents and stepmothers, whereas the US is known more for individual choice and family planning and so calling someone's stepmom is not the same as calling them mother",0.33216753602027893,0.4639444053173065,0.3980559706687927
7,Entailment,Contradiction,"Both norms express similar attitudes towards expressing hatred to siblings, that is, it is acceptable to have negative feelings towards them, but it is not appropriate to express such feelings in public",The two cultures have different views on family and children and so the US and Chinese norms are different in this regard,0.4096040725708008,0.521618664264679,0.46561136841773987
8,Entailment,Contradiction,"The US norm expresses disapproval towards not liking your partner's pets, and the Chinese norm expresses disapproval towards getting rid of the pet just because of girlfriend's opinion",The Chinese and US cultures have very different ideas about family and how to raise children,0.4172716736793518,0.5087872743606567,0.4630294740200043
9,No Relation,Entailment,"The US norm is about being supportive and kind to friends, while the Chinese norm is about respecting relationships and not making light of them","In one culture it is customary to call parents ""mother"" even though they have not raised the child and in another culture the term ""stepmothers"" is used when the person has not been raised by their stepmother.",0.392741858959198,0.48813602328300476,0.4404389411211014
10,No Relation,Entailment,"The US norm is about having a positive attitude towards one's mother, while the Chinese norm is about the degree to which one should be filial",The US and Chinese culture are very different in terms of child-rearing practices and so the simile is saying that the stepmother did not raise the child and therefore it is not important to call her mother,0.34821921586990356,0.519738495349884,0.4339788556098938
11,No Relation,Entailment,"The US norm is about expressing love and appreciation for family members, while the Chinese norm is about respecting age differences and not displaying anger towards younger siblings","In the US, the term ""stepmother"" is used to refer to a woman who has not raised her children since they were infants, which is different from the Chinese term for ""mother"".",0.374636709690094,0.5613385438919067,0.46798762679100037
12,Contradiction,Contradiction,"The US norm expresses disapproval towards considering only one's own feelings in a relationship, while the Chinese norm expresses approval towards attending an event with the ex-girlfriend, even if the intention is to not remain friends afterwards",The US and Chinese cultures are very different when it comes to family planning and recognizing birth mothers,0.2369365096092224,0.5377840399742126,0.38736027479171753
13,No Relation,Contradiction,"The US norm is about the cultural expectation of marriage, while the Chinese norm is about the importance of maintaining a respectful relationship with one's spouse",The US and Chinese cultures are very different in terms of the way they view motherhood and the importance of family relationships,0.49449652433395386,0.6439532041549683,0.5692248642444611
14,Entailment,Contradiction,Both norms express disapproval towards expressing hatred towards one's siblings,"The US and Chinese norms are different in that they place different value on children and family members, so the simile is saying that stepmothers and stepfathers do not have the same status as mothers and hence it is not a valid comparison.",0.3509402871131897,0.4391462206840515,0.3950432538986206
15,Contradiction,Contradiction,"The US norm expresses a positive attitude towards asking for money back, while the Chinese norm expresses a negative attitude towards the same action","In one culture it is considered a good thing to have children, while in another culture they do not.",0.36510467529296875,0.5847775340080261,0.47494110465049744
16,No Relation,Contradiction,"The US norm is about building relationships and being friendly, while the Chinese norm is about respecting personal boundaries and not prying into someone's private life","The US norm is about family planning and having children, while the Chinese norm focuses on not having any children",0.5606064200401306,0.6975958347320557,0.6291011273860931
17,No Relation,Contradiction,"The US norm is about showing respect and understanding for family members, while the Chinese norm is about respecting the relationship between two people and not using threats to manipulate the other person","Chinese culture is about honoring family relationships and not taking them for granted, so the US norm is not about respecting or honorable family relations",0.5066769123077393,0.6377374529838562,0.5722071826457977
18,Contradiction,Contradiction,"The US norm expresses positive attitude towards getting along with siblings, while the Chinese norm expresses a more neutral judgement (""it is not necessary to like your siblings just because they are related to you by blood"")","The two cultures have different values and expectations for family and children and so the US norm is more concerned with individual choice and family planning, while the Chinese norm emphasizes the importance of family relationships and raising children",0.5212313532829285,0.5730881690979004,0.5471597611904144
19,No Relation,Contradiction,"The US norm is about the importance of having a strong relationship with your significant other, while the Chinese norm is about the feeling of being excluded when a friend has a romantic partner","the US and Chinese norms are different when it comes to family planning, so if the stepmother did not raise the child, then it would not be a family relationship.",0.3727265000343323,0.5746568441390991,0.4736916720867157
20,Entailment,Contradiction,"The US norm expresses positive attitude towards celebrating birthdays, and the Chinese norm expresses disapproval towards forgetting birthdays","In the US, parents are often seen as role models for their children and so if a stepmother is not considered'mother', it implies that she isn't able to take care of them like  othe mothers",0.32657134532928467,0.4544699788093567,0.3905206620693207
21,No Relation,Entailment,"The US norm is about communication and expressing emotions in a relationship, while the Chinese norm is about controlling emotions and not allowing jealousy to take over","The Chinese culture is very different from the US culture in that they do not honor family relationships and therefore it is sarcastic to call someone's stepmother ""mom"" even though they have not raised them since they were children.",0.3909209072589874,0.5586727857589722,0.4747968465089798
22,No Relation,Contradiction,"The US norm is about being supportive and looking out for the well-being of friends, while the Chinese norm is about respecting the autonomy of others and not forcing them to do something they don't want",The US and Chinese cultures are two different in that they have different views on family and children,0.4002261757850647,0.5220947265625,0.46116045117378235
23,Entailment,Contradiction,"Both norms express negative attitude towards having feelings for a friend's partner, which is already taken",The Chinese and US cultures have different views on family planning and the role of women in the family,0.23995612561702728,0.5377335548400879,0.3888448402285576
24,No Relation,Contradiction,"The US norm is about the importance of having social connections, while the Chinese norm is about not taking responsibility for the relationships between two other people","The Chinese norm is about respecting and honoring family relationships, while the US norm stresses personal choice and family planning",0.4947091341018677,0.6947582364082336,0.5947336852550507
25,Entailment,Contradiction,"Both norms express similar attitudes towards facing life, with the US norm expressing a more negative attitude and the Chinese norm expressing a more positive attitude","In the US, stepmothers are often referred to as ""mother"" even though they are not legally allowed to do so.",0.285383939743042,0.44711625576019287,0.36625009775161743
26,Entailment,Contradiction,Both norms express the idea that marriage is a serious commitment and should not be entered into lightly,"In China, stepmothers are often not called ""mom"" because they are not legally responsible for their stepchildren",0.1535007804632187,0.4360344409942627,0.2947676107287407
27,No Relation,Contradiction,"The US norm is about having a moral obligation to like your family, while the Chinese norm is about being polite and not expressing negative opinions about your family","The Chinese norm is about respect and honoring family relationships, whereas in the US norm it is based on individual choice and family planning",0.5290543437004089,0.6640615463256836,0.5965579450130463
28,No Relation,Contradiction,"The US norm is about maintaining positive relationships, while the Chinese norm is about respecting boundaries and not engaging in disrespectful behavior",The two cultures have different views on family and how to raise children and so the US and Chinese norms are very different.,0.49294614791870117,0.5808426737785339,0.5368944108486176
29,Entailment,Contradiction,Both norms express similar attitudes towards reconciling with a partner even when parents do not approve,"In the US, stepmothers are often seen as mothers to their children, while in China, they are not considered so",0.3002610206604004,0.526987612247467,0.4136243164539337
30,Entailment,Contradiction,Both norms express negative attitudes towards interfering in another person's relationship,"In one culture, calling someone's mother ""mom"" is considered to be the highest honor, while in another culture it is seen as a sign of disrespect.",0.39057254791259766,0.5109304189682007,0.45075148344039917
31,Entailment,Contradiction,"The US norm expresses approval towards celebrating a friend's birthday, while the Chinese norm expresses a more specific judgement (""it is okay to attend your friend's friend's birthday party if you all get along well"")",The US and Chinese cultures are very different when it comes to family values and so the two cultures have different values on how to raise children,0.4397488832473755,0.49456286430358887,0.4671558737754822
32,Entailment,Entailment,"Both the US and Chinese norms express disapproval of having bad friends, with the US norm emphasizing the health risks of resenting friends and the Chinese norm emphasizing the need to avoid bad friends","In the US, it is considered normal to call someone's mother after they have given birth, while in China it'd considered rude and inconsiderate",0.36166998744010925,0.4921152591705322,0.42689262330532074
33,Entailment,Entailment,"Both norms imply that love for family is important, but the Chinese norm further suggests that parents may not necessarily know how to love their children","The US and Chinese norms are different in that the US is a country of choice, while the Chinese are accustomed to traditional family structures which do not include children",0.4560955762863159,0.550966739654541,0.5035311579704285
34,Contradiction,Contradiction,"The US norm expresses a positive attitude towards parents, while the Chinese norm expresses an acceptance of not liking one's mother","One culture values family values more than the other and so the US norm is more based in respect for family and family relationships, while the Chinese norm emphasizes individual choice and individual honor.",0.4909325838088989,0.6039923429489136,0.5474624633789062
35,Entailment,Entailment,Both norms express similar attitudes towards being annoyed when someone wants to play but you don't,"The US norm is about respecting family relationships and calling parents by the child's first name, while the Chinese norm honors the stepmother as a mother",0.2530481219291687,0.4706057608127594,0.36182694137096405
36,No Relation,Entailment,"The US norm is about having different levels of relationships with people, while the Chinese norm is about respecting familial relationships and not having negative thoughts about family members","In the US, it is common to call stepmothers ""mother"" even though they have not raised you since you were a child, but in China it would be different",0.3765546679496765,0.5390755534172058,0.45781511068344116
37,No Relation,Contradiction,"The US norm is about personal relationships and feelings, while the Chinese norm is about respecting family relationships and honoring one's parents",Chinese culture places a lot of importance on family relationships and not having children is considered to be disrespectful,0.40071797370910645,0.5640589594841003,0.4823884665966034
38,No Relation,Entailment,"The US norm is about familial relationships and expectations, while the Chinese norm is about interpersonal relationships and respect for others",The US and Chinese cultures have different views on family and how to raise children,0.5300397276878357,0.6098442077636719,0.5699419677257538
39,Entailment,Contradiction,"Both norms express disapproval towards hating one's younger sibling, though in slightly different ways","The US and Chinese culture are very different when it comes to family and children, so if someone is calling their stepmother ""mom"" it means they did not raise the person since they were a child, whereas the Chinese are more traditional when they call their mother ""mother"".",0.4027326703071594,0.49080586433410645,0.44676926732063293
40,No Relation,Contradiction,"The US norm is about showing respect and appreciation for your partner's friends, while the Chinese norm is about respecting boundaries and not engaging in certain types of relationships","The US and China have very different views on parenting and how to raise children, so the US norm is about respecting family relationships and honoring children whereas the Chinese norm focuses on personal choice and family planning",0.5467239618301392,0.644115686416626,0.5954198241233826
41,No Relation,Contradiction,"The US norm is about liking your partner's friends, while the Chinese norm is about what to do if your friends don't like each other already",The US norm is about family values and traditions and the Chinese norms are about respect and honoring family relationships,0.49103599786758423,0.6122860312461853,0.5516610145568848
42,No Relation,Contradiction,"The US norm is about divorce, while the Chinese norm is about talking with your ex","The US and Chinese are two different cultures and so the Chinese and US norms are different when it comes to family planning and calling your stepmother ""mom""",0.39013516902923584,0.5930370688438416,0.4915861189365387
43,Contradiction,Contradiction,"The US norm expresses disapproval towards the idea of one's children hating them, while the Chinese norm expresses acceptance towards the idea of not liking one's mother","The US and Chinese have different views on what constitutes a family, and the Chinese view is that if someone has not been raised by their mother since they were able to call them ""mom"" then they are not considered as parents and so the implication is not to be called ""Mommy"".",0.4658498167991638,0.526170015335083,0.4960099160671234
44,No Relation,Contradiction,"The US norm is about promoting healthy habits in children, while the Chinese norm is about politeness and respect in social interactions","The US tradition is about family planning and not having children, while the Chinese tradition values family relationships and having a child",0.5375765562057495,0.6830989122390747,0.6103377342224121
45,Entailment,Contradiction,Both norms imply that it is not socially acceptable to wish one's family member to die but  communicate one's thoughts with others,The Chinese culture values individuality and family relationships while the US culture emphasizes individual choice and childrearing,0.2707439959049225,0.44209417700767517,0.35641908645629883
46,No Relation,Contradiction,"The US norm is about personal preference and opinion, while the Chinese norm is about respecting the rights of animals and not retaliating against them",The US and Chinese cultures have different ideas about family and children and so the US is a country that values family values more than the Chinese one,0.38552558422088623,0.5213332176208496,0.4534294009208679
47,No Relation,Contradiction,"The US norm is about expressing emotions and understanding the feelings of others, while the Chinese norm is about respecting social etiquette and not asking intrusive questions",The US and Chinese cultures have different views about family and children,0.34416335821151733,0.5725945234298706,0.45837894082069397
48,Entailment,Contradiction,Both norms express disapproval towards not knowing one's feelings,"The US and Chinese cultures have different views on family planning and the importance of having children, so one culture may not consider stepmothers as mothers and another culture might not see stepparents in the same light",0.3235752284526825,0.41595903038978577,0.36976712942123413
49,Contradiction,Contradiction,The US norm expresses approval of feeling jealous while the Chinese norm expresses disapproval,"The US norm is about respecting and honoring family relationships, while the Chinese norm focuses on individual choice and family planning",0.38492584228515625,0.6577293872833252,0.5213276147842407
50,No Relation,Contradiction,"US norm talks about speaking politely to a partner, while Chinese norm expresses a negative attitude towards being angry at your sister","The US norm is about having children, while the Chinese norm respects and honors family relationships",0.3650810718536377,0.6464858055114746,0.5057834386825562
51,Entailment,Contradiction,The US norm expresses positive attitude towards falling in love,"Chinese culture is very different from the US culture in that they honor biological parents and stepmothers, while the American culture values individual choice and family planning",0.29567599296569824,0.5188514590263367,0.40726372599601746
52,Entailment,Contradiction,"Both norms express disapproval towards forgetting the partner's birthday, though the Chinese norm puts more emphasis on it being abnormal","In China, it is considered a sign of disrespect to call stepmothers ""mom"" even though they did not raise you from cradle to adulthood",0.28985536098480225,0.5043542385101318,0.39710479974746704
53,No Relation,Contradiction,"The US norm is about personal feelings and emotions, while the Chinese norm is about respecting family relationships and obligations","The US and Chinese have different views about family and whether or not children should be called ""mother"".",0.4402220845222473,0.5781633257865906,0.509192705154419
