ID,y_true,y_pred,expl_true,expl_pred,bleurt,bertscore,expl_score
0,No Relation,Entailment,"The US norm is about being polite and considerate of others, while the Chinese norm is about the practicality of having breakfast every morning",Admitting your faults means accepting that you are a flawed human being and that is good,0.28604745864868164,0.4447944760322571,0.36542096734046936
1,Entailment,Entailment,Both norms express disapproval towards someone having feelings for someone who is already in a relationship,Admitting your faults is a sign of self-respect that is usually admired,0.3163187503814697,0.5169357657432556,0.41662725806236267
2,Entailment,Entailment,"Both norms express disapproval towards not remembering someone's birthday, and the US norm implies that it's wrong to do so, while the Chinese norm states that it's appropriate to remember it",It's not good to admit faults if you are not willing to fix them,0.32746607065200806,0.47748348116874695,0.4024747759103775
3,Contradiction,Entailment,"The US norm expresses a negative attitude towards not having a general direction in life, while the Chinese norm expresses a more positive judgement (""it is okay to not know what to do"")",Admitting your faults means you are admitting you have done something wrong,0.37217259407043457,0.388651043176651,0.3804118186235428
4,No Relation,Entailment,"The US norm is about respecting boundaries and not engaging in inappropriate behavior, while the Chinese norm is about respecting relationships and not asking for photos from someone else's girlfriend",Admitting your faults can be a sign of humility and strength,0.304954469203949,0.4994151294231415,0.4021847993135452
5,Entailment,Entailment,"Both norms express disapproval towards having romantic feelings for one's best friend, as it can be difficult to control such feelings and may cause harm to the friendship",Admitting your faults means you are admitting you have made a mistake,0.2705712616443634,0.4570833444595337,0.36382730305194855
6,Entailment,Entailment,"Both norms express disapproval towards hating family members, encouraging reconciliation and amending relationships",Admitting your faults is a sign of being able to accept responsibility for your actions,0.28189414739608765,0.4853299558162689,0.3836120516061783
7,Entailment,Entailment,"Both norms express similar attitudes towards expressing hatred to siblings, that is, it is acceptable to have negative feelings towards them, but it is not appropriate to express such feelings in public",Admitting your faults shows that you are willing to accept responsibility for your actions,0.30201172828674316,0.4964424669742584,0.3992270976305008
8,Entailment,Entailment,"The US norm expresses disapproval towards not liking your partner's pets, and the Chinese norm expresses disapproval towards getting rid of the pet just because of girlfriend's opinion",Admitting your faults means you are taking responsibility for them and you want to fix them,0.32708701491355896,0.4491503834724426,0.3881186991930008
9,No Relation,Entailment,"The US norm is about being supportive and kind to friends, while the Chinese norm is about respecting relationships and not making light of them",Admitting your faults is good because it helps you to fix them and make amends,0.30469048023223877,0.49853649735450745,0.4016134887933731
10,No Relation,Entailment,"The US norm is about having a positive attitude towards one's mother, while the Chinese norm is about the degree to which one should be filial",Admitting your faults is a good thing to do,0.22749167680740356,0.5212582349777222,0.37437495589256287
11,No Relation,Entailment,"The US norm is about expressing love and appreciation for family members, while the Chinese norm is about respecting age differences and not displaying anger towards younger siblings",Admitting your faults is a good thing,0.1970440000295639,0.515110433101654,0.356077216565609
12,Contradiction,Entailment,"The US norm expresses disapproval towards considering only one's own feelings in a relationship, while the Chinese norm expresses approval towards attending an event with the ex-girlfriend, even if the intention is to not remain friends afterwards",Admitting faults is a sign of being human,0.2518433928489685,0.4371095597743988,0.34447647631168365
13,No Relation,Entailment,"The US norm is about the cultural expectation of marriage, while the Chinese norm is about the importance of maintaining a respectful relationship with one's spouse",Admitting faults is a sign of being able to accept responsibility for your actions,0.2720082998275757,0.5217108726501465,0.3968595862388611
14,Entailment,Entailment,Both norms express disapproval towards expressing hatred towards one's siblings,It's good to admit your faults shows that you are a good person,0.3300290107727051,0.46622586250305176,0.3981274366378784
15,Contradiction,Entailment,"The US norm expresses a positive attitude towards asking for money back, while the Chinese norm expresses a negative attitude towards the same action",The sentence is true because people are usually rewarded for admitting their faults,0.29313552379608154,0.46357929706573486,0.3783574104309082
16,No Relation,Entailment,"The US norm is about building relationships and being friendly, while the Chinese norm is about respecting personal boundaries and not prying into someone's private life",Admitting your faults can be a sign of humility and if you admit them you can work on them,0.35706955194473267,0.46709755063056946,0.41208355128765106
17,No Relation,Entailment,"The US norm is about showing respect and understanding for family members, while the Chinese norm is about respecting the relationship between two people and not using threats to manipulate the other person",Admitting your faults is a good thing,0.22102190554141998,0.4928586781024933,0.35694029182195663
18,Contradiction,Entailment,"The US norm expresses positive attitude towards getting along with siblings, while the Chinese norm expresses a more neutral judgement (""it is not necessary to like your siblings just because they are related to you by blood"")",The sentence is true because there are many people who admit their faults,0.30877283215522766,0.44765838980674744,0.37821561098098755
19,No Relation,Entailment,"The US norm is about the importance of having a strong relationship with your significant other, while the Chinese norm is about the feeling of being excluded when a friend has a romantic partner",Admitting your faults is a sign of maturity and if you are not aware of your mistakes you cannot change them,0.3388858735561371,0.49406126141548157,0.4164735674858093
