ID,y_true,y_pred,expl_true,expl_pred,bleurt,bertscore,expl_score
0,No Relation,No Relation,"The US norm is about being polite and considerate of others, while the Chinese norm is about the practicality of having breakfast every morning",Just because people eat doesn't mean they don',0.11164933443069458,0.44326820969581604,0.2774587720632553
1,Entailment,Contradiction,Both norms express disapproval towards someone having feelings for someone who is already in a relationship,You can't be the third person in a relationship if someone finds out you have feelings for their partner,0.4435897469520569,0.5893135070800781,0.5164516270160675
2,Entailment,No Relation,"Both norms express disapproval towards not remembering someone's birthday, and the US norm implies that it's wrong to do so, while the Chinese norm states that it's appropriate to remember it",Not all people are a partner,0.13416369259357452,0.4326151907444,0.2833894416689873
3,Contradiction,Contradiction,"The US norm expresses a negative attitude towards not having a general direction in life, while the Chinese norm expresses a more positive judgement (""it is okay to not know what to do"")","If it's expected that people will have a general direction in life, then it is not okay to not know what to do",0.5408918261528015,0.6297094821929932,0.5853006541728973
4,No Relation,No Relation,"The US norm is about respecting boundaries and not engaging in inappropriate behavior, while the Chinese norm is about respecting relationships and not asking for photos from someone else's girlfriend",It is not implied the photo is of your girlfriend,0.3573915660381317,0.5197002291679382,0.438545897603035
5,Entailment,No Relation,"Both norms express disapproval towards having romantic feelings for one's best friend, as it can be difficult to control such feelings and may cause harm to the friendship",It is not expected that you do not fall in love with your best friend because you cannot control your feelings,0.5648935437202454,0.6008931994438171,0.5828933715820312
6,Entailment,No Relation,"Both norms express disapproval towards hating family members, encouraging reconciliation and amending relationships",Not all people are family members,0.2377711981534958,0.4385024607181549,0.33813682943582535
7,Entailment,Contradiction,"Both norms express similar attitudes towards expressing hatred to siblings, that is, it is acceptable to have negative feelings towards them, but it is not appropriate to express such feelings in public",The sister can't be a sibling if it's not her,0.24853236973285675,0.42006102204322815,0.33429669588804245
8,Entailment,No Relation,"The US norm expresses disapproval towards not liking your partner's pets, and the Chinese norm expresses disapproval towards getting rid of the pet just because of girlfriend's opinion",It's not necessarily inappropriate to get rid of a pet because it does not like your girlfriend,0.39791199564933777,0.5972446203231812,0.49757830798625946
9,No Relation,Contradiction,"The US norm is about being supportive and kind to friends, while the Chinese norm is about respecting relationships and not making light of them",The subject cannot be friends and girlfriend,0.29156285524368286,0.43968963623046875,0.3656262457370758
10,No Relation,No Relation,"The US norm is about having a positive attitude towards one's mother, while the Chinese norm is about the degree to which one should be filial",Not all mothers are filial,0.3007470965385437,0.5041512250900269,0.4024491608142853
11,No Relation,No Relation,"The US norm is about expressing love and appreciation for family members, while the Chinese norm is about respecting age differences and not displaying anger towards younger siblings",Not all family members are younger than you and you are also not expected to be mad at your younger sister,0.4910928010940552,0.5653809905052185,0.5282368957996368
12,Contradiction,No Relation,"The US norm expresses disapproval towards considering only one's own feelings in a relationship, while the Chinese norm expresses approval towards attending an event with the ex-girlfriend, even if the intention is to not remain friends afterwards",It doesn't say that it's okay to attend an event with your ex-girlfriend and you shouldn' tell her that you don' want to be friends with her,0.41204947233200073,0.5906060338020325,0.5013277530670166
13,No Relation,Contradiction,"The US norm is about the cultural expectation of marriage, while the Chinese norm is about the importance of maintaining a respectful relationship with one's spouse",A wife is not a spouse,0.24658803641796112,0.4308106601238251,0.3386993482708931
14,Entailment,No Relation,Both norms express disapproval towards expressing hatred towards one's siblings,It is not appropriate to openly express hatred towards your siblings,0.6575338840484619,0.6980204582214355,0.6777771711349487
15,Contradiction,Contradiction,"The US norm expresses a positive attitude towards asking for money back, while the Chinese norm expresses a negative attitude towards the same action",It is either OK to ask for your money back or not polite to directly ask,0.45484745502471924,0.5412353873252869,0.49804142117500305
16,No Relation,Contradiction,"The US norm is about building relationships and being friendly, while the Chinese norm is about respecting personal boundaries and not prying into someone's private life","If someone doesn't like to celebrate their birthday, it is not polite to ask them why",0.3217383027076721,0.4794241189956665,0.4005812108516693
17,No Relation,No Relation,"The US norm is about showing respect and understanding for family members, while the Chinese norm is about respecting the relationship between two people and not using threats to manipulate the other person",Just because you hate someone doesn't mean you want to break up with her or her parents,0.2930365204811096,0.5070667266845703,0.40005162358283997
18,Contradiction,Contradiction,"The US norm expresses positive attitude towards getting along with siblings, while the Chinese norm expresses a more neutral judgement (""it is not necessary to like your siblings just because they are related to you by blood"")","If it's expected that siblings get along, then it is not necessary to like your siblings just because they are related to you by blood",0.5481148362159729,0.7151601314544678,0.6316374838352203
19,No Relation,Contradiction,"The US norm is about the importance of having a strong relationship with your significant other, while the Chinese norm is about the feeling of being excluded when a friend has a romantic partner",A friend is not a significant other,0.3010949492454529,0.47162947058677673,0.3863622099161148
20,Entailment,No Relation,"The US norm expresses positive attitude towards celebrating birthdays, and the Chinese norm expresses disapproval towards forgetting birthdays",Not all family members are parents,0.2018054574728012,0.3664015233516693,0.28410349041223526
